ggml_cuda_init: found 1 CUDA devices (Total VRAM: 32149 MiB):
  Device 0: NVIDIA GeForce RTX 5090, compute capability 12.0, VMM: yes, VRAM: 32149 MiB
| model                          |       size |     params | backend    | ngl | type_k | type_v |  fa |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | -----: | -----: | --: | --------------: | -------------------: |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |           tg128 |         81.37 ± 0.27 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |   tg128 @ d8000 |         79.60 ± 0.41 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d16000 |         77.21 ± 0.45 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d32000 |         71.26 ± 0.28 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d64000 |         65.40 ± 0.22 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d96000 |         59.26 ± 0.19 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d128000 |         53.98 ± 0.19 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d160000 |         49.51 ± 0.07 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d200000 |         44.78 ± 0.12 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d240000 |         40.92 ± 0.11 |

build: 434ddbbc0 (10884)
