engine,config,context,tok_s,bytes_per_step_gb,ceiling_tok_s,pct_of_wall,ms_per_step,accepted_per_step
Token Rush,"raw, triton GEMV",0,100.9,13.65,124.6,81.0,9.92,
Token Rush,"raw, triton GEMV",8000,99.1,13.916,122.2,81.1,10.1,
Token Rush,"raw, triton GEMV",16000,97.4,14.182,119.9,81.2,10.27,
Token Rush,"raw, triton GEMV",32000,94.4,14.715,115.6,81.7,10.6,
Token Rush,"raw, triton GEMV",64000,88.9,15.78,107.8,82.5,11.25,
Token Rush,"raw, triton GEMV",96000,84.2,16.845,101.0,83.4,11.88,
Token Rush,"raw, triton GEMV",128000,79.8,17.91,95.0,84.0,12.53,
Token Rush,"raw, triton GEMV",160000,76.0,18.975,89.6,84.8,13.15,
Token Rush,"raw, triton GEMV",200000,71.5,20.306,83.8,85.4,13.98,
Token Rush,"raw, triton GEMV",240000,67.8,21.637,78.6,86.2,14.75,
Token Rush,"raw, Marlin layout",0,97.4,13.65,124.6,78.2,10.26,
Token Rush,"raw, Marlin layout",8000,95.8,13.916,122.2,78.4,10.44,
Token Rush,"raw, Marlin layout",16000,94.3,14.182,119.9,78.6,10.61,
Token Rush,"raw, Marlin layout",32000,91.5,14.715,115.6,79.2,10.93,
Token Rush,"raw, Marlin layout",64000,86.1,15.78,107.8,79.9,11.61,
Token Rush,"raw, Marlin layout",96000,81.8,16.845,101.0,81.0,12.23,
Token Rush,"raw, Marlin layout",128000,77.6,17.91,95.0,81.7,12.89,
Token Rush,"raw, Marlin layout",160000,74.0,18.975,89.6,82.5,13.52,
Token Rush,"raw, Marlin layout",200000,69.8,20.306,83.8,83.3,14.33,
Token Rush,"raw, Marlin layout",240000,66.2,21.637,78.6,84.2,15.1,
Token Rush,"spec, DFlash2, prose",0,279.1,13.65,124.6,224.0,13.8,3.85
Token Rush,"spec, DFlash2, prose",8000,280.5,13.916,122.2,229.5,14.2,3.98
Token Rush,"spec, DFlash2, prose",16000,205.0,14.182,119.9,170.9,14.6,2.99
Token Rush,"spec, DFlash2, prose",32000,163.8,14.715,115.6,141.7,15.4,2.52
Token Rush,"spec, DFlash2, prose",64000,142.8,15.78,107.8,132.5,16.9,2.41
Token Rush,"spec, DFlash2, prose",96000,129.9,16.845,101.0,128.6,18.3,2.38
Token Rush,"spec, DFlash2, prose",128000,119.9,17.91,95.0,126.2,19.8,2.38
Token Rush,"spec, DFlash2, prose",160000,146.9,18.975,89.6,163.9,21.3,3.12
Token Rush,"spec, DFlash2, prose",200000,188.9,20.306,83.8,225.5,23.1,4.36
Token Rush,"spec, DFlash2, prose",240000,121.0,21.637,78.6,153.9,24.9,3.01
Token Rush,"spec, MTP chain, prose",0,265.5,13.65,124.6,213.1,12.6,3.33
Token Rush,"spec, MTP chain, prose",8000,270.5,13.916,122.2,221.3,12.7,3.45
Token Rush,"spec, MTP chain, prose",16000,236.5,14.182,119.9,197.2,12.9,3.06
Token Rush,"spec, MTP chain, prose",32000,209.5,14.715,115.6,181.2,13.3,2.78
Token Rush,"spec, MTP chain, prose",64000,187.1,15.78,107.8,173.6,14.1,2.63
Token Rush,"spec, MTP chain, prose",96000,183.9,16.845,101.0,182.1,14.9,2.74
Token Rush,"spec, MTP chain, prose",128000,169.3,17.91,95.0,178.3,15.7,2.66
Token Rush,"spec, MTP chain, prose",160000,190.7,18.975,89.6,212.7,16.6,3.17
Token Rush,"spec, MTP chain, prose",200000,198.3,20.306,83.8,236.7,17.7,3.51
Token Rush,"spec, MTP chain, prose",240000,159.5,21.637,78.6,202.9,18.5,2.96
Token Rush,"spec, DFlash2, code",0,479.4,13.65,124.6,384.7,13.8,6.61
Token Rush,"spec, DFlash2, code",8000,456.9,13.916,122.2,373.8,14.2,6.48
Token Rush,"spec, DFlash2, code",16000,353.5,14.182,119.9,294.7,14.6,5.15
Token Rush,"spec, DFlash2, code",32000,273.9,14.715,115.6,236.9,15.4,4.21
Token Rush,"spec, DFlash2, code",64000,201.1,15.78,107.8,186.6,16.9,3.39
Token Rush,"spec, DFlash2, code",96000,335.3,16.845,101.0,332.0,18.3,6.15
Token Rush,"spec, DFlash2, code",128000,155.1,17.91,95.0,163.3,19.8,3.08
Token Rush,"spec, DFlash2, code",160000,280.6,18.975,89.6,313.0,21.3,5.97
Token Rush,"spec, DFlash2, code",200000,107.1,20.306,83.8,127.9,23.1,2.48
Token Rush,"spec, DFlash2, code",240000,237.1,21.637,78.6,301.6,24.9,5.91
Token Rush,"spec, MTP chain, code",0,356.3,13.65,124.6,285.9,12.7,4.53
Token Rush,"spec, MTP chain, code",8000,358.5,13.916,122.2,293.3,13.0,4.65
Token Rush,"spec, MTP chain, code",16000,286.3,14.182,119.9,238.7,13.1,3.74
Token Rush,"spec, MTP chain, code",32000,243.3,14.715,115.6,210.5,13.4,3.26
Token Rush,"spec, MTP chain, code",64000,231.9,15.78,107.8,215.1,14.2,3.3
Token Rush,"spec, MTP chain, code",96000,257.8,16.845,101.0,255.3,15.1,3.9
Token Rush,"spec, MTP chain, code",128000,194.9,17.91,95.0,205.2,15.8,3.08
Token Rush,"spec, MTP chain, code",160000,239.4,18.975,89.6,267.1,16.8,4.02
Token Rush,"spec, MTP chain, code",200000,165.2,20.306,83.8,197.2,17.5,2.9
Token Rush,"spec, MTP chain, code",240000,230.6,21.637,78.6,293.3,18.9,4.37
llama.cpp,raw,0,81.4,15.387,110.5,73.6,,
llama.cpp,raw,8000,79.6,15.666,108.6,73.3,,
llama.cpp,raw,16000,77.2,15.944,106.7,72.4,,
llama.cpp,raw,32000,71.3,16.501,103.1,69.1,,
llama.cpp,raw,64000,65.4,17.615,96.6,67.7,,
llama.cpp,raw,96000,59.3,18.729,90.8,65.2,,
llama.cpp,raw,128000,54.0,19.843,85.7,63.0,,
llama.cpp,raw,160000,49.5,20.958,81.2,61.0,,
llama.cpp,raw,200000,44.8,22.35,76.1,58.8,,
llama.cpp,raw,240000,40.9,23.743,71.6,57.1,,
llama.cpp,"spec, MTP x1, prose",0,138.0,15.387,110.5,124.8,,
llama.cpp,"spec, MTP x1, prose",8000,132.3,15.666,108.6,121.8,,
llama.cpp,"spec, MTP x1, prose",16000,145.6,15.944,106.7,136.5,,
llama.cpp,"spec, MTP x1, prose",32000,116.5,16.501,103.1,113.0,,
llama.cpp,"spec, MTP x1, prose",64000,101.6,17.615,96.6,105.2,,
llama.cpp,"spec, MTP x1, prose",96000,96.8,18.729,90.8,106.6,,
llama.cpp,"spec, MTP x1, prose",128000,74.8,19.843,85.7,87.3,,
llama.cpp,"spec, MTP x1, prose",160000,70.8,20.958,81.2,87.2,,
llama.cpp,"spec, MTP x1, prose",200000,70.4,22.35,76.1,92.5,,
llama.cpp,"spec, MTP x1, prose",240000,64.0,23.743,71.6,89.3,,
vLLM,raw,0,78.0,16.245,104.7,74.5,,
vLLM,raw,8000,77.4,16.507,103.0,75.1,,
vLLM,raw,16000,76.7,16.769,101.4,75.6,,
vLLM,raw,32000,75.3,17.294,98.4,76.6,,
vLLM,raw,64000,71.7,18.342,92.7,77.3,,
vLLM,raw,96000,68.7,19.391,87.7,78.3,,
vLLM,raw,128000,65.7,20.439,83.2,78.9,,
vLLM,raw,160000,62.9,21.488,79.2,79.5,,
vLLM,raw,200000,59.8,22.799,74.6,80.2,,
vLLM,raw,240000,57.0,24.109,70.6,80.8,,
SGLang,raw,0,62.7,16.245,104.7,59.9,,
SGLang,raw,8000,61.6,16.507,103.0,59.8,,
SGLang,raw,16000,61.0,16.769,101.4,60.1,,
SGLang,raw,32000,59.8,17.294,98.4,60.8,,
SGLang,raw,64000,57.6,18.342,92.7,62.1,,
SGLang,raw,96000,55.5,19.391,87.7,63.3,,
SGLang,raw,128000,53.5,20.439,83.2,64.3,,
SGLang,raw,160000,51.8,21.488,79.2,65.4,,
SGLang,raw,200000,49.7,22.799,74.6,66.6,,
SGLang,raw,240000,47.7,24.109,70.6,67.6,,
ExLlamaV3,raw,0,77.4,13.184,129.0,60.0,,
ExLlamaV3,raw,8000,75.3,13.708,124.1,60.7,,
ExLlamaV3,raw,16000,73.3,14.233,119.5,61.3,,
ExLlamaV3,raw,32000,69.7,15.281,111.3,62.6,,
ExLlamaV3,raw,64000,64.1,17.378,97.9,65.5,,
ExLlamaV3,raw,96000,59.3,19.475,87.3,67.9,,
ExLlamaV3,raw,128000,55.3,21.573,78.8,70.1,,
ExLlamaV3,raw,160000,51.7,23.67,71.9,71.9,,
ExLlamaV3,raw,200000,47.9,26.291,64.7,74.0,,
ExLlamaV3,"spec, MTP x2",0,170.7,13.184,129.0,132.3,,2.88
ExLlamaV3,"spec, MTP x2",8000,166.3,13.708,124.1,134.0,,2.91
ExLlamaV3,"spec, MTP x2",16000,108.5,14.233,119.5,90.8,,1.96
ExLlamaV3,"spec, MTP x2",32000,121.8,15.281,111.3,109.4,,2.32
ExLlamaV3,"spec, MTP x2",64000,95.7,17.378,97.9,97.8,,2.01
ExLlamaV3,"spec, MTP x2",96000,126.7,19.475,87.3,145.1,,2.94
ExLlamaV3,"spec, MTP x2",128000,91.2,21.573,78.8,115.7,,2.3
