ggml_cuda_init: found 1 CUDA devices (Total VRAM: 32110 MiB):
  Device 0: NVIDIA GeForce RTX 5090, compute capability 12.0, VMM: yes, VRAM: 32110 MiB
| model                          |       size |     params | backend    | ngl | type_k | type_v |  fa |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | -----: | -----: | --: | --------------: | -------------------: |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |           tg128 |         81.44 ± 0.23 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |   tg128 @ d8000 |         79.51 ± 0.18 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d16000 |         77.14 ± 0.16 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d32000 |         71.17 ± 0.11 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d64000 |         64.37 ± 0.11 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 |  tg128 @ d96000 |         57.78 ± 0.07 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d128000 |         52.23 ± 0.08 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d160000 |         47.65 ± 0.06 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d200000 |         42.87 ± 0.06 |
| qwen35 27B Q4_K - Medium       |  15.32 GiB |    27.32 B | CUDA       | 999 |   q8_0 |   q8_0 |   1 | tg128 @ d240000 |         38.94 ± 0.05 |

build: 434ddbbc0 (10884)
