engine,config,context,tok_s,bytes_per_step_gb,ceiling_tok_s,pct_of_wall,ms_per_step,accepted_per_step,tok_s_min,tok_s_max,accepted_min,accepted_max,positions
Token Rush,"raw, triton GEMV",0,100.4,13.65,124.6,80.6,9.96,,,,,,
Token Rush,"raw, triton GEMV",8000,97.7,13.916,122.2,79.9,10.24,,,,,,
Token Rush,"raw, triton GEMV",16000,95.9,14.182,119.9,80.0,10.42,,,,,,
Token Rush,"raw, triton GEMV",32000,92.8,14.715,115.6,80.3,10.78,,,,,,
Token Rush,"raw, triton GEMV",64000,87.3,15.78,107.8,81.0,11.45,,,,,,
Token Rush,"raw, triton GEMV",96000,82.9,16.845,101.0,82.1,12.07,,,,,,
Token Rush,"raw, triton GEMV",128000,78.7,17.91,95.0,82.9,12.71,,,,,,
Token Rush,"raw, triton GEMV",160000,74.8,18.975,89.6,83.4,13.37,,,,,,
Token Rush,"raw, triton GEMV",200000,70.4,20.306,83.8,84.0,14.2,,,,,,
Token Rush,"raw, triton GEMV",240000,66.9,21.637,78.6,85.1,14.95,,,,,,
Token Rush,"raw, Marlin layout",0,97.6,13.65,124.6,78.3,10.24,,,,,,
Token Rush,"raw, Marlin layout",8000,96.0,13.916,122.2,78.5,10.42,,,,,,
Token Rush,"raw, Marlin layout",16000,94.4,14.182,119.9,78.7,10.6,,,,,,
Token Rush,"raw, Marlin layout",32000,91.6,14.715,115.6,79.2,10.92,,,,,,
Token Rush,"raw, Marlin layout",64000,86.3,15.78,107.8,80.1,11.59,,,,,,
Token Rush,"raw, Marlin layout",128000,77.7,17.91,95.0,81.8,12.88,,,,,,
Token Rush,"raw, Marlin layout",160000,74.0,18.975,89.6,82.5,13.51,,,,,,
Token Rush,"raw, Marlin layout",240000,66.3,21.637,78.6,84.3,15.09,,,,,,
Token Rush,"raw, Marlin layout",200000,69.7,20.306,83.8,83.2,14.34,,,,,,
Token Rush,"raw, Marlin layout",96000,81.8,16.845,101.0,81.0,12.23,,,,,,
Token Rush,"spec, DFlash2, prose",0,349.9,13.65,124.6,280.8,13.7,4.81,259.0,446.0,3.57,6.13,6
Token Rush,"spec, MTP chain, prose",0,295.8,13.65,124.6,237.4,12.6,3.72,242.0,358.0,3.02,4.56,6
Token Rush,"spec, DFlash2, prose",8000,323.4,13.916,122.2,264.6,14.2,4.58,261.0,480.0,3.7,6.8,6
Token Rush,"spec, MTP chain, prose",8000,297.0,13.916,122.2,243.0,12.9,3.82,241.0,371.0,3.07,4.81,6
Token Rush,"spec, DFlash2, prose",16000,275.3,14.182,119.9,229.5,14.5,4.0,166.0,391.0,2.42,5.69,6
Token Rush,"spec, MTP chain, prose",16000,267.2,14.182,119.9,222.8,13.0,3.47,185.0,329.0,2.37,4.33,6
Token Rush,"spec, DFlash2, prose",32000,242.4,14.715,115.6,209.7,15.3,3.71,164.0,352.0,2.52,5.4,6
Token Rush,"spec, MTP chain, prose",32000,252.0,14.715,115.6,218.0,13.4,3.37,192.0,329.0,2.53,4.47,6
Token Rush,"spec, DFlash2, prose",64000,241.6,15.78,107.8,224.1,16.8,4.07,156.0,375.0,2.62,6.32,6
Token Rush,"spec, MTP chain, prose",64000,257.9,15.78,107.8,239.2,14.3,3.68,182.0,329.0,2.56,4.76,6
Token Rush,"spec, DFlash2, prose",96000,210.1,16.845,101.0,208.1,18.3,3.85,150.0,294.0,2.75,5.38,6
Token Rush,"spec, MTP chain, prose",96000,242.2,16.845,101.0,239.8,15.1,3.66,197.0,321.0,2.95,4.91,6
Token Rush,"spec, DFlash2, prose",128000,209.4,17.91,95.0,220.5,19.8,4.15,160.0,282.0,3.17,5.58,6
Token Rush,"spec, MTP chain, prose",128000,232.3,17.91,95.0,244.6,15.9,3.7,183.0,307.0,2.88,4.95,6
Token Rush,"spec, DFlash2, prose",160000,211.8,18.975,89.6,236.3,21.2,4.49,169.0,279.0,3.59,5.93,6
Token Rush,"spec, MTP chain, prose",160000,234.2,18.975,89.6,261.3,16.9,3.95,201.0,286.0,3.38,4.87,6
Token Rush,"spec, DFlash2, prose",200000,202.2,20.306,83.8,241.4,23.1,4.67,161.0,252.0,3.72,5.82,6
Token Rush,"spec, MTP chain, prose",200000,222.7,20.306,83.8,265.9,17.9,3.99,186.0,268.0,3.32,4.85,6
Token Rush,"spec, DFlash2, prose",240000,158.3,21.637,78.6,201.4,24.9,3.94,121.0,216.0,3.02,5.39,6
Token Rush,"spec, MTP chain, prose",240000,190.6,21.637,78.6,242.4,18.9,3.6,150.0,250.0,2.81,4.79,6
Token Rush,"spec, DFlash2, code",0,447.2,13.65,124.6,358.9,13.8,6.15,375.0,565.0,5.16,7.77,6
Token Rush,"spec, MTP chain, code",0,330.8,13.65,124.6,265.5,12.7,4.2,297.0,380.0,3.74,4.85,6
Token Rush,"spec, DFlash2, code",8000,390.9,13.916,122.2,319.8,14.2,5.54,347.0,553.0,4.92,7.83,6
Token Rush,"spec, MTP chain, code",8000,309.0,13.916,122.2,252.8,12.9,3.98,282.0,371.0,3.61,4.82,6
Token Rush,"spec, DFlash2, code",16000,384.8,14.182,119.9,320.8,14.6,5.6,359.0,541.0,5.22,7.88,6
Token Rush,"spec, MTP chain, code",16000,323.6,14.182,119.9,269.8,13.1,4.25,295.0,375.0,3.85,4.95,6
Token Rush,"spec, DFlash2, code",32000,336.2,14.715,115.6,290.8,15.3,5.15,296.0,514.0,4.53,7.88,6
Token Rush,"spec, MTP chain, code",32000,300.3,14.715,115.6,259.8,13.5,4.06,271.0,360.0,3.65,4.9,6
Token Rush,"spec, DFlash2, code",64000,336.9,15.78,107.8,312.5,16.8,5.67,279.0,468.0,4.71,7.88,6
Token Rush,"spec, MTP chain, code",64000,292.7,15.78,107.8,271.5,14.4,4.2,259.0,335.0,3.7,4.85,6
Token Rush,"spec, DFlash2, code",96000,309.2,16.845,101.0,306.2,18.3,5.67,254.0,430.0,4.65,7.88,6
Token Rush,"spec, MTP chain, code",96000,269.1,16.845,101.0,266.5,15.2,4.09,236.0,318.0,3.55,4.88,6
Token Rush,"spec, DFlash2, code",128000,262.2,17.91,95.0,276.1,19.8,5.19,224.0,398.0,4.44,7.88,6
Token Rush,"spec, MTP chain, code",128000,246.6,17.91,95.0,259.6,16.0,3.95,226.0,300.0,3.61,4.85,6
Token Rush,"spec, DFlash2, code",160000,267.3,18.975,89.6,298.2,21.3,5.68,223.0,371.0,4.75,7.88,6
Token Rush,"spec, MTP chain, code",160000,245.4,18.975,89.6,273.7,16.9,4.15,210.0,281.0,3.53,4.79,6
Token Rush,"spec, DFlash2, code",200000,229.5,20.306,83.8,274.0,23.1,5.3,186.0,341.0,4.28,7.88,6
Token Rush,"spec, MTP chain, code",200000,224.7,20.306,83.8,268.2,17.9,4.03,205.0,270.0,3.66,4.89,6
Token Rush,"spec, DFlash2, code",240000,208.4,21.637,78.6,265.1,24.9,5.19,185.0,316.0,4.6,7.88,6
Token Rush,"spec, MTP chain, code",240000,213.5,21.637,78.6,271.6,19.0,4.06,191.0,254.0,3.62,4.88,6
llama.cpp,raw,0,81.4,15.387,110.5,73.7,,,,,,,
llama.cpp,raw,8000,79.5,15.666,108.6,73.2,,,,,,,
llama.cpp,raw,16000,77.1,15.944,106.7,72.3,,,,,,,
llama.cpp,raw,32000,71.2,16.501,103.1,69.0,,,,,,,
llama.cpp,raw,64000,64.4,17.615,96.6,66.7,,,,,,,
llama.cpp,raw,96000,57.8,18.729,90.8,63.6,,,,,,,
llama.cpp,raw,128000,52.2,19.843,85.7,60.9,,,,,,,
llama.cpp,raw,160000,47.6,20.958,81.2,58.7,,,,,,,
llama.cpp,raw,200000,42.9,22.35,76.1,56.3,,,,,,,
llama.cpp,raw,240000,38.9,23.743,71.6,54.4,,,,,,,
llama.cpp,"spec, MTP n-max 3, prose",0,155.0,15.387,110.5,140.2,,2.94,100.2,190.2,1.9,3.63,6
llama.cpp,"spec, MTP n-max 3, prose",8000,159.1,15.666,108.6,146.5,,3.12,126.8,187.9,2.47,3.71,6
llama.cpp,"spec, MTP n-max 3, prose",16000,153.5,15.944,106.7,143.8,,3.08,126.1,184.4,2.53,3.74,6
llama.cpp,"spec, MTP n-max 3, prose",32000,140.1,16.501,103.1,135.9,,3.07,113.2,173.6,2.46,3.82,6
llama.cpp,"spec, MTP n-max 3, prose",64000,118.8,17.615,96.6,123.0,,3.06,98.5,151.7,2.52,3.91,6
llama.cpp,"spec, MTP n-max 3, prose",96000,111.4,18.729,90.8,122.6,,3.31,95.0,132.7,2.83,3.94,6
llama.cpp,"spec, MTP n-max 3, prose",128000,100.1,19.843,85.7,116.8,,3.37,85.4,116.9,2.88,3.94,6
llama.cpp,"spec, MTP n-max 3, prose",160000,86.4,20.958,81.2,106.5,,3.26,71.3,102.9,2.68,3.91,6
llama.cpp,"spec, MTP n-max 3, prose",200000,68.9,22.35,76.1,90.5,,2.95,57.3,90.8,2.45,3.91,6
llama.cpp,"spec, MTP n-max 3, prose",240000,68.7,23.743,71.6,95.9,,3.3,58.6,81.3,2.8,3.91,6
SGLang,"spec, DSpark, prose",0,130.5,16.245,104.7,124.7,,2.95,73.1,219.9,1.65,4.97,6
SGLang,"spec, DSpark, prose",8000,162.4,16.507,103.0,157.6,,3.74,98.1,242.2,2.26,5.57,6
SGLang,"spec, DSpark, prose",16000,147.3,16.769,101.4,145.2,,3.43,92.7,241.5,2.16,5.63,6
vLLM,raw,0,78.1,16.245,104.7,74.6,,,,,,,
vLLM,raw,8000,77.5,16.507,103.0,75.2,,,,,,,
vLLM,raw,16000,76.7,16.769,101.4,75.6,,,,,,,
vLLM,raw,32000,75.3,17.294,98.4,76.6,,,,,,,
vLLM,raw,64000,72.1,18.342,92.7,77.7,,,,,,,
vLLM,raw,96000,68.8,19.391,87.7,78.4,,,,,,,
vLLM,raw,128000,65.7,20.439,83.2,78.9,,,,,,,
vLLM,raw,160000,63.1,21.488,79.2,79.7,,,,,,,
vLLM,raw,200000,59.9,22.799,74.6,80.3,,,,,,,
vLLM,raw,240000,57.1,24.109,70.6,80.9,,,,,,,
SGLang,raw,0,62.1,16.245,104.7,59.3,,,,,,,
SGLang,raw,8000,61.1,16.507,103.0,59.3,,,,,,,
SGLang,raw,16000,60.5,16.769,101.4,59.6,,,,,,,
SGLang,raw,32000,59.3,17.294,98.4,60.3,,,,,,,
SGLang,raw,64000,57.2,18.342,92.7,61.7,,,,,,,
SGLang,raw,96000,55.1,19.391,87.7,62.8,,,,,,,
SGLang,raw,128000,53.2,20.439,83.2,63.9,,,,,,,
SGLang,raw,160000,51.4,21.488,79.2,64.9,,,,,,,
SGLang,raw,200000,49.4,22.799,74.6,66.2,,,,,,,
SGLang,raw,240000,47.5,24.109,70.6,67.3,,,,,,,
ExLlamaV3,raw,0,77.6,13.184,129.0,60.1,,,,,,,
ExLlamaV3,raw,8000,75.5,13.708,124.1,60.8,,,,,,,
ExLlamaV3,raw,16000,73.4,14.233,119.5,61.4,,,,,,,
ExLlamaV3,raw,32000,69.9,15.281,111.3,62.8,,,,,,,
ExLlamaV3,raw,64000,64.3,17.378,97.9,65.7,,,,,,,
ExLlamaV3,raw,96000,59.5,19.475,87.3,68.1,,,,,,,
ExLlamaV3,raw,128000,55.4,21.573,78.8,70.3,,,,,,,
ExLlamaV3,raw,160000,51.9,23.67,71.9,72.2,,,,,,,
ExLlamaV3,raw,200000,48.0,26.291,64.7,74.2,,,,,,,
ExLlamaV3,"spec, MTP x2",0,170.4,13.184,129.0,132.1,,2.88,,,,,
ExLlamaV3,"spec, MTP x2",8000,166.3,13.708,124.1,134.0,,2.91,,,,,
ExLlamaV3,"spec, MTP x2",16000,109.1,14.233,119.5,91.3,,1.96,,,,,
ExLlamaV3,"spec, MTP x2",32000,121.7,15.281,111.3,109.3,,2.32,,,,,
ExLlamaV3,"spec, MTP x2",64000,95.9,17.378,97.9,98.0,,2.02,,,,,
ExLlamaV3,"spec, MTP x2",96000,126.0,19.475,87.3,144.3,,2.94,,,,,
ExLlamaV3,"spec, MTP x2",128000,96.4,21.573,78.8,122.3,,2.43,,,,,
